date,top_pick,open,high,close,high_vs_open_pct,result
2025-06-20,TRENT,5756.0,6030.0,5897.5,4.76,positive
2025-06-23,TRENT,5850.0,6210.0,6120.0,6.15,positive
2025-06-24,TRENT,6174.0,6205.0,6057.5,0.5,positive
2025-06-25,DLF,852.5,855.6,854.35,0.36,positive
2025-06-26,GRASIM,2840.0,2894.9,2883.3,1.93,positive
2025-06-27,GRASIM,2896.0,2896.0,2861.1,0.0,negative
2025-06-30,INDIGO,5840.0,5997.0,5976.5,2.69,positive
2025-07-01,GRASIM,2842.5,2870.0,2848.1,0.97,positive
2025-07-02,ULTRACEMCO,12210.0,12527.0,12436.0,2.6,positive
2025-07-03,TRENT,6234.0,6258.0,6191.0,0.38,positive
2025-07-04,ULTRACEMCO,12400.0,12542.0,12506.0,1.15,positive
2025-07-07,BPCL,345.8,351.55,350.5,1.66,positive
2025-07-08,BPCL,350.0,358.65,355.6,2.47,positive
2025-07-09,ULTRACEMCO,12410.0,12580.0,12562.0,1.37,positive
2025-07-10,ULTRACEMCO,12518.0,12667.0,12516.0,1.19,positive
2025-07-11,ULTRACEMCO,12516.0,12637.0,12495.0,0.97,positive
2025-07-14,INDIGO,5917.0,5960.0,5940.5,0.73,positive
2025-07-15,INDIGO,5950.0,5964.5,5930.5,0.24,positive
2025-07-16,INDIGO,5919.5,5958.5,5950.0,0.66,positive
2025-07-17,INDIGO,5931.0,5958.0,5796.5,0.46,positive
2025-07-18,INDIGO,5818.0,5869.0,5861.0,0.88,positive
2025-07-21,ULTRACEMCO,12560.0,12714.0,12577.0,1.23,positive
2025-07-22,HINDUNILVR,2470.0,2485.0,2479.7,0.61,positive
2025-07-23,HINDUNILVR,2481.0,2487.0,2450.4,0.24,positive
2025-07-24,HINDUNILVR,2455.9,2466.0,2437.8,0.41,positive
2025-07-25,HINDUNILVR,2426.1,2428.6,2415.4,0.1,positive
2025-07-28,HINDUNILVR,2415.4,2448.3,2441.6,1.36,positive
2025-07-29,VBL,486.1,514.8,512.15,5.9,positive
2025-07-30,VBL,515.0,534.2,522.1,3.73,positive
2025-07-31,VBL,512.05,525.0,522.6,2.53,positive
2025-08-01,VBL,522.6,524.2,511.9,0.31,positive
2025-08-04,VBL,510.0,511.55,508.6,0.3,positive
2025-08-05,VBL,511.0,512.9,508.1,0.37,positive
2025-08-06,VBL,506.0,507.95,499.2,0.39,positive
2025-08-07,VBL,495.0,504.25,502.7,1.87,positive
2025-08-08,VBL,504.2,507.15,495.95,0.59,positive
2025-08-11,VBL,495.95,512.0,510.75,3.24,positive
2025-08-12,VBL,512.75,517.4,514.25,0.91,positive
2025-08-13,VBL,514.0,520.0,511.1,1.17,positive
2025-08-14,HEROMOTOCO,4770.0,4773.5,4708.1,0.07,positive
2025-08-18,MARUTI,13703.0,14125.0,14068.0,3.08,positive
2025-08-19,HEROMOTOCO,4984.0,5139.0,5118.2,3.11,positive
2025-08-20,HEROMOTOCO,5120.0,5165.0,5136.0,0.88,positive
2025-08-21,HEROMOTOCO,5136.0,5158.9,5097.1,0.45,positive
2025-08-22,HEROMOTOCO,5097.1,5123.3,4997.9,0.51,positive
2025-08-25,HEROMOTOCO,5010.0,5079.9,5063.8,1.4,positive
2025-08-26,HEROMOTOCO,5063.8,5143.0,5073.4,1.56,positive
2025-08-28,MARUTI,14895.0,14895.0,14752.0,0.0,negative
2025-08-29,MARUTI,14750.0,14850.0,14791.0,0.68,positive
2025-09-01,HEROMOTOCO,5113.5,5259.5,5244.0,2.86,positive
2025-09-02,HEROMOTOCO,5290.0,5348.0,5312.0,1.1,positive
2025-09-03,HEROMOTOCO,5325.0,5363.5,5349.0,0.72,positive
2025-09-04,MARUTI,15240.0,15240.0,14662.0,0.0,negative
2025-09-05,MARUTI,14740.0,14957.0,14895.0,1.47,positive
2025-09-08,MARUTI,14921.0,15319.0,15258.0,2.67,positive
2025-09-09,MARUTI,15249.0,15384.0,15365.0,0.89,positive
2025-09-10,EICHERMOT,6900.0,6924.5,6836.5,0.36,positive
2025-09-11,MARUTI,15111.0,15191.0,15095.0,0.53,positive
2025-09-12,EICHERMOT,6765.0,6899.0,6875.0,1.98,positive
2025-09-15,EICHERMOT,6875.0,6900.5,6801.0,0.37,positive
2025-09-16,MARUTI,15300.0,15594.0,15573.0,1.92,positive
2025-09-17,EICHERMOT,6921.0,6938.0,6890.5,0.25,positive
2025-09-18,EICHERMOT,6895.5,6935.0,6924.5,0.57,positive
2025-09-19,EICHERMOT,6947.0,7018.0,6973.5,1.02,positive
2025-09-22,ADANIGREEN,1040.0,1177.55,1152.15,13.23,positive
2025-09-23,ADANIGREEN,1164.0,1177.3,1131.45,1.14,positive
2025-09-24,EICHERMOT,6950.0,7060.5,7011.5,1.59,positive
2025-09-25,ADANIGREEN,1096.05,1115.0,1079.55,1.73,positive
2025-09-26,EICHERMOT,6980.0,7091.0,7047.0,1.59,positive
2025-09-29,EICHERMOT,7049.0,7073.5,6985.0,0.35,positive
2025-09-30,BAJFINANCE,990.0,1002.3,998.9,1.24,positive
2025-10-01,ADANIGREEN,1031.8,1070.0,1064.7,3.7,positive
2025-10-03,ADANIGREEN,1068.6,1078.8,1070.3,0.95,positive
2025-10-06,AXISBANK,1185.0,1215.2,1212.8,2.55,positive
2025-10-07,ADANIGREEN,1062.0,1089.4,1060.7,2.58,positive
2025-10-08,AXISBANK,1180.1,1194.8,1180.6,1.25,positive
2025-10-09,BANKBARODA,262.0,265.8,264.15,1.45,positive
2025-10-10,BANKBARODA,264.5,268.9,266.95,1.66,positive
2025-10-13,BANKBARODA,266.4,269.2,268.1,1.05,positive
2025-10-14,BANKBARODA,268.0,268.7,263.95,0.26,positive
2025-10-15,BANKBARODA,263.3,270.4,268.4,2.7,positive
2025-10-16,BANKBARODA,268.4,269.3,266.15,0.34,positive
2025-10-17,DIVISLAB,6580.0,6647.0,6621.5,1.02,positive
2025-10-20,SHRIRAMFIN,678.4,698.65,693.95,2.98,positive
2025-10-21,SHRIRAMFIN,695.5,697.5,695.25,0.29,positive
2025-10-23,SHRIRAMFIN,695.25,717.75,709.65,3.24,positive
2025-10-24,SHRIRAMFIN,711.05,723.35,715.45,1.73,positive
2025-10-27,SHRIRAMFIN,721.0,730.3,719.6,1.29,positive
2025-10-28,SHRIRAMFIN,719.5,726.85,723.7,1.02,positive
2025-10-29,SHRIRAMFIN,723.7,741.9,738.45,2.51,positive
2025-10-30,PERSISTENT,5891.1,5967.0,5961.7,1.29,positive
2025-10-31,PERSISTENT,5961.7,5965.0,5916.6,0.06,positive
2025-11-03,SHRIRAMFIN,762.8,799.9,796.45,4.86,positive
2025-11-04,SHRIRAMFIN,792.45,814.15,796.5,2.74,positive
2025-11-06,DIVISLAB,6792.5,6904.5,6883.5,1.65,positive
2025-11-07,SHRIRAMFIN,792.5,820.0,816.35,3.47,positive
2025-11-10,SHRIRAMFIN,822.0,830.7,821.1,1.06,positive
2025-11-11,SHRIRAMFIN,821.1,833.3,832.3,1.49,positive
2025-11-12,SHRIRAMFIN,832.3,838.65,822.5,0.76,positive
2025-11-13,SHRIRAMFIN,826.0,826.35,814.0,0.04,positive
2025-11-14,SHRIRAMFIN,809.5,817.95,809.3,1.04,positive
2025-11-17,SHRIRAMFIN,809.0,828.35,817.9,2.39,positive
2025-11-18,SHRIRAMFIN,820.0,827.7,820.2,0.94,positive
2025-11-19,SHRIRAMFIN,824.15,826.7,818.05,0.31,positive
2025-11-20,SHRIRAMFIN,822.0,828.7,826.6,0.82,positive
2025-11-21,SHRIRAMFIN,825.0,832.0,823.3,0.85,positive
2025-11-24,SHRIRAMFIN,825.0,839.5,828.2,1.76,positive
2025-11-25,SHRIRAMFIN,828.2,841.85,838.25,1.65,positive
2025-11-26,SHRIRAMFIN,841.95,858.85,856.6,2.01,positive
2025-11-27,SHRIRAMFIN,860.0,869.5,867.65,1.1,positive
2025-11-28,SHRIRAMFIN,870.05,872.0,851.65,0.22,positive
2025-12-01,SHRIRAMFIN,857.85,865.0,851.55,0.83,positive
2025-12-02,HEROMOTOCO,6330.0,6340.0,6270.5,0.16,positive
2025-12-03,HEROMOTOCO,6294.0,6294.0,6211.5,0.0,negative
2025-12-04,HEROMOTOCO,6248.0,6351.0,6340.0,1.65,positive
2025-12-05,HEROMOTOCO,6335.0,6388.5,6350.5,0.84,positive
2025-12-08,HEROMOTOCO,6310.0,6351.0,6167.0,0.65,positive
2025-12-09,HEROMOTOCO,6164.0,6164.0,6001.0,0.0,negative
2025-12-10,TECHM,1563.0,1572.9,1550.8,0.63,positive
2025-12-11,HEROMOTOCO,5945.5,6019.5,5979.5,1.24,positive
2025-12-12,TECHM,1575.0,1580.5,1578.4,0.35,positive
2025-12-15,TECHM,1571.0,1588.7,1575.4,1.13,positive
2025-12-16,TECHM,1570.0,1580.3,1578.2,0.66,positive
2025-12-17,TECHM,1578.2,1586.2,1579.4,0.51,positive
2025-12-18,TECHM,1581.0,1608.8,1605.6,1.76,positive
2025-12-19,TECHM,1611.0,1624.0,1612.5,0.81,positive
2025-12-22,SHRIRAMFIN,919.0,949.8,934.85,3.35,positive
2025-12-23,SHRIRAMFIN,938.7,959.95,957.8,2.26,positive
2025-12-24,SHRIRAMFIN,958.0,983.7,973.7,2.68,positive
2025-12-26,IRFC,122.14,134.59,133.64,10.19,positive
2025-12-29,SHRIRAMFIN,963.0,966.0,955.5,0.31,positive
2025-12-30,SHRIRAMFIN,960.95,984.6,979.4,2.46,positive
2025-12-31,SHRIRAMFIN,983.0,1000.2,996.2,1.75,positive
2026-01-01,SHRIRAMFIN,996.2,1025.6,1019.7,2.95,positive
2026-01-02,SHRIRAMFIN,1024.75,1025.0,1010.35,0.02,positive
2026-01-05,SHRIRAMFIN,1013.5,1014.8,1003.35,0.13,positive
2026-01-06,SHRIRAMFIN,1002.5,1011.75,1002.65,0.92,positive
2026-01-07,SHRIRAMFIN,996.05,1003.1,995.85,0.71,positive
2026-01-08,SHRIRAMFIN,1001.4,1002.55,992.9,0.11,positive
2026-01-09,SHRIRAMFIN,987.0,993.2,975.4,0.63,positive
