date,top_pick,open,high,close,high_vs_open_pct,result
2026-03-24,COALINDIA,463.0,463.0,442.1,0.0,negative
2026-03-25,COALINDIA,443.55,446.4,443.7,0.64,positive
2026-03-27,SUNPHARMA,1785.0,1819.0,1793.6,1.9,positive
2026-03-30,COALINDIA,445.05,459.9,450.45,3.34,positive
2026-04-01,COALINDIA,464.0,464.85,449.4,0.18,positive
2026-04-02,COALINDIA,448.4,453.3,449.35,1.09,positive
2026-04-06,PERSISTENT,5234.0,5343.7,5309.4,2.1,positive
2026-04-07,PERSISTENT,5303.5,5438.5,5386.2,2.55,positive
2026-04-08,ADANIGREEN,969.0,1046.6,1029.65,8.01,positive
2026-04-09,ADANIGREEN,1032.0,1048.0,1044.55,1.55,positive
2026-04-10,ADANIGREEN,1044.5,1087.75,1085.35,4.14,positive
2026-04-13,ADANIGREEN,1051.0,1096.85,1085.45,4.36,positive
2026-04-15,ADANIGREEN,1107.0,1123.75,1096.05,1.51,positive
2026-04-16,ADANIGREEN,1101.55,1126.7,1118.9,2.28,positive
2026-04-17,ADANIGREEN,1140.0,1140.0,1127.3,0.0,negative
2026-04-20,ADANIGREEN,1126.5,1195.0,1152.7,6.08,positive
2026-04-21,ADANIGREEN,1155.15,1183.95,1150.0,2.49,positive
2026-04-22,ADANIGREEN,1152.0,1205.0,1198.95,4.6,positive
2026-04-23,ADANIGREEN,1193.0,1240.0,1214.15,3.94,positive
2026-04-24,ADANIGREEN,1222.0,1252.0,1235.8,2.45,positive
2026-04-27,ADANIGREEN,1245.0,1257.35,1229.7,0.99,positive
2026-04-28,ADANIGREEN,1235.5,1259.15,1249.95,1.91,positive
2026-04-29,ADANIGREEN,1256.0,1271.95,1244.8,1.27,positive
2026-04-30,ADANIGREEN,1235.0,1237.55,1227.15,0.21,positive
2026-05-01,,,,,,no pick
2026-05-04,ADANIGREEN,1232.4,1305.0,1290.7,5.89,positive
2026-05-05,ADANIGREEN,1291.0,1339.0,1331.4,3.72,positive
2026-05-06,ADANIGREEN,1340.0,1368.0,1353.0,2.09,positive
2026-05-07,ADANIGREEN,1358.0,1378.0,1365.0,1.47,positive
2026-05-08,ADANIGREEN,1364.1,1373.0,1355.8,0.65,positive
2026-05-11,ADANIGREEN,1343.0,1398.0,1387.7,4.1,positive
2026-05-12,ADANIGREEN,1380.0,1387.7,1308.0,0.56,positive
2026-05-13,ADANIGREEN,1302.1,1388.7,1366.7,6.65,positive
2026-05-14,ADANIGREEN,1379.0,1424.1,1414.9,3.27,positive
2026-05-15,ADANIENT,2781.1,2803.1,2716.0,0.79,positive
2026-05-18,ADANIGREEN,1374.9,1374.9,1369.0,0.0,negative
2026-05-19,ADANIENT,2734.7,2774.5,2725.0,1.46,positive
2026-05-20,ADANIENT,2715.0,2720.0,2704.8,0.18,positive
2026-05-21,ADANIENT,2727.9,2770.0,2697.6,1.54,positive
2026-05-22,ADANIENT,2710.2,2745.0,2717.3,1.28,positive
2026-05-25,ADANIENT,2739.8,2858.8,2849.7,4.34,positive
2026-05-26,ADANIENT,2846.0,2979.4,2969.3,4.69,positive
2026-05-27,ADANIENT,2982.0,3027.5,2973.1,1.53,positive
2026-05-28,,,,,,no pick
2026-05-29,ADANIENT,2987.8,2995.0,2937.4,0.24,positive
2026-06-01,,,,,,no pick
2026-06-02,ADANIENT,2885.0,2975.0,2968.1,3.12,positive
2026-06-03,ADANIENT,2960.0,2965.0,2925.6,0.17,positive
2026-06-04,ADANIENT,2920.0,2983.0,2972.8,2.16,positive
2026-06-05,ADANIENT,2992.0,3059.8,3048.2,2.27,positive
2026-06-08,ADANIENT,3017.7,3039.8,2970.0,0.73,positive
2026-06-09,ADANIENT,2985.9,2998.7,2979.9,0.43,positive
2026-06-10,ADANIENT,2977.0,2994.9,2931.1,0.6,positive
2026-06-11,ADANIENT,2895.1,2966.8,2908.8,2.48,positive
2026-06-12,INDIGO,4599.0,4725.0,4709.7,2.74,positive
2026-06-15,INDIGO,4820.0,4941.5,4880.4,2.52,positive
2026-06-16,INDIGO,4905.0,4920.0,4840.0,0.31,positive
2026-06-17,INDIGO,4876.4,4899.0,4878.4,0.46,positive
2026-06-18,INDIGO,4895.0,5022.0,5011.8,2.59,positive
2026-06-19,TRENT,3182.0,3218.8,3205.8,1.16,positive
2026-06-22,ADANIGREEN,1509.0,1555.0,1549.9,3.05,positive
2026-06-23,INDIGO,5040.0,5040.0,4961.4,0.0,negative
2026-06-24,TRENT,3158.1,3213.5,3198.0,1.75,positive
