date,top_pick,open,high,close,high_vs_open_pct,result
2025-06-23,ORCL,205.51,207.27,207.04,0.86,positive
2025-06-24,ORCL,209.99,216.37,215.27,3.04,positive
2025-06-25,ORCL,214.94,216.93,210.72,0.93,positive
2025-06-26,ORCL,212.0,214.42,212.82,1.14,positive
2025-06-27,ORCL,213.69,214.65,210.24,0.45,positive
2025-06-30,ORCL,226.5,228.22,218.63,0.76,positive
2025-07-01,ORCL,219.3,223.17,218.96,1.76,positive
2025-07-02,ORCL,217.68,231.9,229.98,6.53,positive
2025-07-03,ORCL,233.22,237.99,237.32,2.05,positive
2025-07-07,ORCL,235.11,235.25,232.26,0.06,positive
2025-07-08,ORCL,237.13,241.44,234.5,1.82,positive
2025-07-09,ORCL,235.51,236.51,235.81,0.42,positive
2025-07-10,ORCL,239.94,240.06,235.0,0.05,positive
2025-07-11,ORCL,231.37,234.0,230.56,1.14,positive
2025-07-14,ORCL,229.45,230.64,229.28,0.52,positive
2025-07-15,AMD,153.75,158.68,155.61,3.21,positive
2025-07-16,AMD,155.31,160.36,160.08,3.25,positive
2025-07-17,AMD,161.81,161.96,160.41,0.09,positive
2025-07-18,AMD,159.59,160.83,156.99,0.78,positive
2025-07-21,NKE,72.93,74.81,74.02,2.58,positive
2025-07-22,NKE,74.07,75.54,75.39,1.98,positive
2025-07-23,NKE,76.15,77.21,76.75,1.39,positive
2025-07-24,NKE,76.51,77.54,75.42,1.35,positive
2025-07-25,NKE,75.91,76.57,76.27,0.87,positive
2025-07-28,NKE,79.0,79.99,79.24,1.25,positive
2025-07-29,AMD,175.21,182.31,177.44,4.05,positive
2025-07-30,AMD,175.61,180.37,179.51,2.71,positive
2025-07-31,AMD,182.02,182.5,176.31,0.26,positive
2025-08-01,AMD,170.16,174.4,171.7,2.49,positive
2025-08-04,AMD,174.61,177.86,176.78,1.86,positive
2025-08-05,AMD,177.57,177.99,174.31,0.24,positive
2025-08-06,AMD,165.05,166.18,163.12,0.68,positive
2025-08-07,AMD,166.84,175.75,172.4,5.34,positive
2025-08-08,AMD,174.04,176.48,172.76,1.4,positive
2025-08-11,AMD,170.04,178.82,172.28,5.16,positive
2025-08-12,AMD,173.32,175.16,174.95,1.06,positive
2025-08-13,LOW,247.5,258.5,256.33,4.44,positive
2025-08-14,LOW,252.01,253.78,253.05,0.7,positive
2025-08-15,LOW,254.17,254.17,252.06,0.0,negative
2025-08-18,TMO,490.13,493.24,487.54,0.63,positive
2025-08-19,TMO,490.92,500.93,498.29,2.04,positive
2025-08-20,TMO,498.77,500.37,494.81,0.32,positive
2025-08-21,LOW,256.08,258.67,255.65,1.01,positive
2025-08-22,LOW,257.35,265.5,263.73,3.17,positive
2025-08-25,INTC,25.5,25.88,24.55,1.49,positive
2025-08-26,INTC,24.58,24.74,24.35,0.65,positive
2025-08-27,INTC,24.19,24.99,24.85,3.31,positive
2025-08-28,INTC,24.96,25.14,24.93,0.72,positive
2025-08-29,UNH,302.3,310.0,309.87,2.55,positive
2025-09-02,UNH,308.31,312.89,308.8,1.49,positive
2025-09-03,UNH,308.11,309.59,307.88,0.48,positive
2025-09-04,UNH,306.1,311.91,310.38,1.9,positive
2025-09-05,UNH,310.44,317.94,315.39,2.42,positive
2025-09-08,UNH,319.71,321.65,320.25,0.61,positive
